头实体,关系,尾实体,来源文件
护理学专业(四年制,普护班),"拥有, 科学、专业硕士学位授予权",护理学院.txt
护理学专业(四年制,普护班),"是, 多个国家级、省级学科专业培训基地",护理学院.txt
华中科技大学同济医学院护理学院,附属医院包括,协和医院,护理学院.txt
华中科技大学同济医学院护理学院,附属医院包括,同济医院,护理学院.txt
张泽宇,毕业于,华中科技大学同济医学院护理学院,护理学院.txt
张泽宇,现任,第28届中华护理学会国际合作工作委员会委员,护理学院.txt
付洁,毕业于,华中科技大学同济医学院护理学院,护理学院.txt
付洁,就职于,华中科技大学同济医学院附属同济医院,护理学院.txt
董安红,毕业于,华中科技大学同济医学院护理学院,护理学院.txt
董安红,工作于,云南省普洱市卫生健康委员会,护理学院.txt
张文雅,毕业于,华中科技大学同济医学院护理学院,护理学院.txt
张文雅,就读于,北京协和医学院护理学院,护理学院.txt
主语,谓语,宾语,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,拥有师资队伍,国家万人计划哲学社会科学领军人才,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,拥有师资队伍,万人计划青年拔尖人才,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,建立实习基地,中央媒体,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,建立实习基地,省市主要新闻单位,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,建立实习基地,知名互联网公司,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,建立实习基地,公关广告传媒公司,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,开设本科专业,新闻学,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,开设本科专业,广播电视学,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,开设本科专业,广告学,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,开设本科专业,传播学,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,开设本科专业,播音与主持艺术,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,拥有实验室,大数据与国家传播战略实验室,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,共建研究院,中国故事创意传播研究院,新闻与信息传播学院.txt
华中科技大学新闻与信息传播学院,设立研究中心,媒介技术与传播发展研究中心,新闻与信息传播学院.txt
新闻学专业,培养目标,复合型高级新闻传播人才,新闻与信息传播学院.txt
新闻学专业,开设课程,马克思主义新闻观,新闻与信息传播学院.txt
新闻学专业,开设课程,新闻史论,新闻与信息传播学院.txt
新闻学专业,开设课程,采写编评,新闻与信息传播学院.txt
广播电视学专业,培养目标,新型视听传播人才,新闻与信息传播学院.txt
广播电视学专业,开设课程,电视画面与摄像,新闻与信息传播学院.txt
广播电视学专业,开设课程,视听新媒体,新闻与信息传播学院.txt
传播学专业,培养目标,文理交叉复合型传播人才,新闻与信息传播学院.txt
传播学专业,开设课程,传播学原理,新闻与信息传播学院.txt
传播学专业,开设课程,新媒体用户分析,新闻与信息传播学院.txt
广告学专业,培养目标,策略性品牌传播人才,新闻与信息传播学院.txt
广告学专业,开设课程,广告策划与创意课程,新闻与信息传播学院.txt
广告学专业,开设课程,新媒体整合营销,新闻与信息传播学院.txt
播音与主持艺术专业,培养目标,艺术专业复合应用型人才,新闻与信息传播学院.txt
播音与主持艺术专业,开设课程,播音创作与表达,新闻与信息传播学院.txt
播音与主持艺术专业,开设课程,即兴口语表达,新闻与信息传播学院.txt
周科,毕业于,华中科技大学新闻与信息传播学院,新闻与信息传播学院.txt
周科,现任职务,新华通讯社深圳特区支社副社长,新闻与信息传播学院.txt
倪致远,毕业于,华中科技大学新闻与信息传播学院,新闻与信息传播学院.txt
倪致远,现任职务,最高人民法院工作人员,新闻与信息传播学院.txt
曹彧,毕业于,华中科技大学新闻与信息传播学院,新闻与信息传播学院.txt
曹彧,现就读于,美国哥伦比亚大学,新闻与信息传播学院.txt
主语,谓语,宾语,未来技术学院.txt
华中科技大学未来技术学院,是,教育部批准成立的首批12所未来技术学院之一,未来技术学院.txt
华中科技大学未来技术学院,成立于,2021年5月,未来技术学院.txt
华中科技大学未来技术学院,依托,机械工程、光电信息科学与工程、自动化（人工智能,未来技术学院.txt
华中科技大学未来技术学院,发挥,武汉光电国家研究中心、国家数字化设计与制造创新中心等重大科学研究平台,未来技术学院.txt
华中科技大学未来技术学院,凝练,以共融互连智能机器人为牵引的先进智能制造、生物医学成像、光电子芯片与系统、人工智能等四个未来交叉学科技术方向,未来技术学院.txt
华中科技大学未来技术学院,培养目标,驱动科学研究、引领未来科技和产业变革的人才,未来技术学院.txt
华中科技大学未来技术学院,设置课程,通识基础课程、基础理论核心课程、专业课程,未来技术学院.txt
时圣铭,就读于,华中科技大学未来技术学院,未来技术学院.txt
时圣铭,获得,"华中杯数模比赛三等奖、""科技强国""创新大赛优秀作品奖",未来技术学院.txt
时圣铭,参与,大学生创新创业训练计划项目《卫星通信测距系统一体化研究》,未来技术学院.txt
盛洁熠,就读于,华中科技大学未来技术学院,未来技术学院.txt
盛洁熠,申请,"实用新型专利""一种便于更换滤芯的空气净化装置""",未来技术学院.txt
盛洁熠,担任,《基于SLAM的小车自动避障与地图构建》大创项目负责人,未来技术学院.txt
徐颢诚,就读于,华中科技大学未来技术学院,未来技术学院.txt
徐颢诚,获得,中国大学生计算机系统与程序设计竞赛铜牌、湖北省大学生程序设计竞赛银牌、蓝桥杯省一等奖,未来技术学院.txt
华中科技大学未来技术学院,联系电话,027-87792225,未来技术学院.txt
华中科技大学未来技术学院,官网,http://sft.hust.edu.cn/,未来技术学院.txt
华中科技大学未来技术学院,微信公众号,HUST未来技术学院,未来技术学院.txt
华中科技大学未来技术学院,宣传视频,http://sft.hust.edu.cn/info/1111/1133.htm,未来技术学院.txt
华中科技大学未来技术学院,合作企业,华为等行业龙头企业,未来技术学院.txt
机械科学与工程学院,拥有学科,机械工程,机械科学与工程学院.txt
机械工程学科,是,国家双一流建设学科,机械科学与工程学院.txt
机械科学与工程学院,拥有院士,中国科学院院士2人,机械科学与工程学院.txt
机械科学与工程学院,拥有院士,中国工程院院士4人,机械科学与工程学院.txt
机械科学与工程学院,拥有院士,加拿大工程院院士1人,机械科学与工程学院.txt
机械科学与工程学院,拥有教师,国家教学名师2人,机械科学与工程学院.txt
机械科学与工程学院,拥有教师,国家级重点人才70余人次,机械科学与工程学院.txt
机械科学与工程学院,提供专业,机械设计制造及其自动化,机械科学与工程学院.txt
机械设计制造及其自动化,有方向,智能制造方向,机械科学与工程学院.txt
机械设计制造及其自动化,有方向,先进电子制造方向,机械科学与工程学院.txt
机械设计制造及其自动化,有方向,机器人方向,机械科学与工程学院.txt
机械科学与工程学院,提供专业,工业工程,机械科学与工程学院.txt
机械科学与工程学院,提供专业,测控技术与仪器,机械科学与工程学院.txt
机械科学与工程学院,提供专业,产品设计,机械科学与工程学院.txt
机械科学与工程学院,就业率,97%,机械科学与工程学院.txt
机械科学与工程学院,本科升学率,60%,机械科学与工程学院.txt
机械科学与工程学院,毕业生深造院校,清华大学,机械科学与工程学院.txt
机械科学与工程学院,毕业生深造院校,哥伦比亚大学,机械科学与工程学院.txt
机械科学与工程学院,毕业生就业企业,华为,机械科学与工程学院.txt
机械科学与工程学院,毕业生就业企业,中船集团,机械科学与工程学院.txt
机械科学与工程学院,获得奖项,国家级教学成果奖7项,机械科学与工程学院.txt
机械科学与工程学院,获得奖项,国家优秀教材奖2项,机械科学与工程学院.txt
机械科学与工程学院,培养人才,10余名院士,机械科学与工程学院.txt
机械科学与工程学院,培养人才,多名知名企业家,机械科学与工程学院.txt
机械科学与工程学院,杰出校友,周伟,机械科学与工程学院.txt
机械科学与工程学院,杰出校友,郭列,机械科学与工程学院.txt
机械科学与工程学院,杰出校友,张峻彬,机械科学与工程学院.txt
机械科学与工程学院,拥有平台,8个国家级研究平台,机械科学与工程学院.txt
机械科学与工程学院,合作机构,6个工业技术研究院,机械科学与工程学院.txt
杨华勇,毕业院校,华中科技大学,机械科学与工程学院.txt
杨华勇,当选,中国工程院院士,机械科学与工程学院.txt
周驰,毕业院校,华中科技大学,机械科学与工程学院.txt
周驰,获得奖项,ASME最佳论文,机械科学与工程学院.txt
周驰,获得奖项,全美杰出青年制造工程师奖,机械科学与工程学院.txt
姚海明,毕业院校,华中科技大学,机械科学与工程学院.txt
姚海明,保研院校,清华大学,机械科学与工程学院.txt
姚海明,获得奖项,全国大学生数学竞赛一等奖,机械科学与工程学院.txt
姚海明,获得奖项,全国大学生机械创新设计大赛一等奖,机械科学与工程学院.txt
主语,谓语,宾语,材料科学与工程学院.txt
材料科学与工程学院,始建于,1952年,材料科学与工程学院.txt
材料科学与工程学院,是,华中科技大学规模较大、实力雄厚的学院之一,材料科学与工程学院.txt
材料科学与工程学院,拥有,材料成形与模具技术国家重点实验室,材料科学与工程学院.txt
材料科学与工程学院,拥有,材料科学与工程国家实验教学示范中心,材料科学与工程学院.txt
材料科学与工程学院,是,国家数字化设计与制造创新中心重要建设单位,材料科学与工程学院.txt
材料科学与工程学院,是,强磁场装置和精密重力测量研究设施重要建设单位,材料科学与工程学院.txt
材料科学与工程学院,现有,中国工程院院士2名,材料科学与工程学院.txt
材料科学与工程学院,现有,教育部新世纪人才9名,材料科学与工程学院.txt
材料科学与工程学院,现有,国家级人才计划入选者41名,材料科学与工程学院.txt
材料科学与工程学院,现有,省部级人才计划入选者36名,材料科学与工程学院.txt
材料科学与工程学院,现有,全国高校黄大年式教师团队1个,材料科学与工程学院.txt
材料科学与工程学院,现有,教育部创新团队2个,材料科学与工程学院.txt
材料成型及控制工程专业,培养目标,高素质复合型领军人才,材料科学与工程学院.txt
材料科学与工程专业,培养目标,高素质复合型领军人才,材料科学与工程学院.txt
电子封装技术专业,培养目标,高素质复合型领军人才,材料科学与工程学院.txt
孙小军,毕业于,材料成型及控制工程专业,材料科学与工程学院.txt
孙小军,现任,深圳健行仿生技术有限公司CEO,材料科学与工程学院.txt
庞全全,毕业于,材料科学与工程专业,材料科学与工程学院.txt
庞全全,现任,北京大学工程科学与新兴技术高精尖创新中心研究员,材料科学与工程学院.txt
王玉龙,毕业于,材料成型及控制工程专业,材料科学与工程学院.txt
王玉龙,现任,腾讯公司员工,材料科学与工程学院.txt
严开,毕业于,材料科学与工程专业,材料科学与工程学院.txt
严开,现任,华为技术有限公司员工,材料科学与工程学院.txt
材料科学与工程学院,开设,材料类,材料科学与工程学院.txt
材料科学与工程学院,开设,电子封装技术,材料科学与工程学院.txt
材料科学与工程学院,开设,材料成型及控制工程,材料科学与工程学院.txt
材料成型及控制工程专业,涉及,材料成形,材料科学与工程学院.txt
材料成型及控制工程专业,涉及,先进制造,材料科学与工程学院.txt
材料成型及控制工程专业,涉及,模具技术,材料科学与工程学院.txt
材料成型及控制工程专业,涉及,软件设计,材料科学与工程学院.txt
材料科学与工程专业,涉及,新能源材料,材料科学与工程学院.txt
材料科学与工程专业,涉及,半导体材料,材料科学与工程学院.txt
材料科学与工程专业,涉及,晶态材料,材料科学与工程学院.txt
材料科学与工程专业,涉及,新金属材料,材料科学与工程学院.txt
电子封装技术专业,涉及,集成电路制造,材料科学与工程学院.txt
电子封装技术专业,涉及,元器件封装,材料科学与工程学院.txt
电子封装技术专业,涉及,光电器件制造与封装,材料科学与工程学院.txt
电子封装技术专业,涉及,电子组装,材料科学与工程学院.txt
材料科学与工程学院,联系电话,027-87543676,材料科学与工程学院.txt
材料科学与工程学院,传真,027-87557594,材料科学与工程学院.txt
材料科学与工程学院,网址,http://mat.hust.edu.cn,材料科学与工程学院.txt
材料科学与工程学院,邮箱,cailiao@hust.edu.cn,材料科学与工程学院.txt
材料科学与工程学院,公众号,华中大材料学院,材料科学与工程学院.txt
主语,谓语,宾语,法医学院.txt
法医学系,成立于,1985年,法医学院.txt
法医学系,是,国家级一流本科专业建设点,法医学院.txt
法医学系,是,湖北省重点学科,法医学院.txt
法医学系,下设,法医病理学教研室,法医学院.txt
法医学系,下设,法医物证学教研室,法医学院.txt
法医学系,下设,毒物分析教研室,法医学院.txt
法医学系,下设,法医临床与精神病学教研室,法医学院.txt
法医学系,有教职工,27人,法医学院.txt
法医学系专任教师,教授副教授占比,80%,法医学院.txt
法医学系教师,100%具有,博士学位,法医学院.txt
法医学系,有兼职教师,60余人,法医学院.txt
Pekka Saukko,是,德国科学院院士,法医学院.txt
Pekka Saukko,曾任,国际法医学会主席,法医学院.txt
李昌钰,是,美国纽黑文大学博士,法医学院.txt
法医学系,主编,法医毒理学国家规划教材,法医学院.txt
法医学系,在,死亡时间推断研究国内领先,法医学院.txt
法医学系,荣获,国家科技进步二等奖,法医学院.txt
刘良教授,带领团队完成,世界首例新冠肺炎遗体病理解剖,法医学院.txt
法医学专业,2023年排名,全国第四,法医学院.txt
法医学专业,2021年排名,全国第三,法医学院.txt
罗斌,是,1991届毕业生,法医学院.txt
罗斌,现任,常州市公安局刑警支队主任法医师,法医学院.txt
柯伟力,是,2005届毕业生,法医学院.txt
柯伟力,现任,台州市公安局路桥分局刑事技术室副主任,法医学院.txt
虞箫,是,2021届毕业生,法医学院.txt
虞箫,保送至,复旦大学,法医学院.txt
法医学系,联系电话,027-873692647,法医学院.txt
法医学系,咨询QQ群,584210701,法医学院.txt
法医学系,微信公众号,同济法医FM,法医学院.txt
法医学系,官网,http://fayixi.tjmu.edu.cn,法医学院.txt
主语,谓语,宾语,法学院.txt
华中科技大学法学院,拥有,法学一级学科博士学位授权点,法学院.txt
华中科技大学法学院,拥有,法学一级硕士学位授权点,法学院.txt
华中科技大学法学院,拥有,法律硕士专业学位授权点,法学院.txt
华中科技大学法学院,设有,科技法学硕士点,法学院.txt
华中科技大学法学院,设有,法理学等9个二级学科授权点,法学院.txt
华中科技大学法学院,获批,铸牢中华民族共同体意识研究基地,法学院.txt
华中科技大学法学院,获批,国家人权教育与培训基地,法学院.txt
华中科技大学法学院,获批,教育部高校习近平法治思想协同研究中心,法学院.txt
华中科技大学法学院,发起成立,中国计算法学发展联盟,法学院.txt
华中科技大学法学院,与,清华大学等高校合作,法学院.txt
华中科技大学法学院,主持,国家社科基金重大课题等项目近100项,法学院.txt
华中科技大学法学院,参与完成,中央领导交办的重大课题,法学院.txt
华中科技大学法学院,主持,联合国发展权项目,法学院.txt
华中科技大学法学院,提供决策咨询,联合国等国际组织,法学院.txt
华中科技大学法学院,与,世界知识产权组织建立合作关系,法学院.txt
华中科技大学法学院,与,联合国人权理事会建立合作关系,法学院.txt
华中科技大学法学院,与,牛津大学建立合作关系,法学院.txt
华中科技大学法学院,与,德国慕尼黑大学建立合作关系,法学院.txt
朱柯,毕业于,华中科技大学法学院,法学院.txt
朱柯,担任,美迈斯律师事务所香港办公室全球合伙人,法学院.txt
喻玲,毕业于,华中科技大学法学院,法学院.txt
喻玲,担任,湖南大学法学院副院长,法学院.txt
秦雨,担任,武汉市洪山区人民检察院副检察长,法学院.txt
秦雨,创立,秦雨工作室,法学院.txt
秦雨工作室,荣获,"全国""巾帼文明岗""",法学院.txt
秦雨工作室,荣获,"全国""优秀青少年维权岗""",法学院.txt
秦雨工作室,荣获,"最高人民检察院""未检工作三十年突出贡献集体""",法学院.txt
法学专业,入选,国家级一流专业建设点,法学院.txt
华中科技大学法学院,实行,本科生双导师制,法学院.txt
华中科技大学法学院,注重,法学与工科交叉融合,法学院.txt
华中科技大学法学院,注重,法学与医科交叉融合,法学院.txt
华中科技大学法学院,注重,法学与理科交叉融合,法学院.txt
华中科技大学法学院,建设,大数据与人工智能法学,法学院.txt
华中科技大学法学院,建设,人权法学,法学院.txt
华中科技大学法学院,创设,德语法学复合型人才培养试验班,法学院.txt
华中科技大学物理学院,牵头承建,精密重力测量国家重大科技基础设施,物理学院.txt
华中科技大学物理学院,拥有,"科技部""引力与固体潮观测台站""",物理学院.txt
华中科技大学物理学院,拥有,"""基本物理量测量""教育部重点实验室",物理学院.txt
华中科技大学物理学院,拥有,"""重力导航""教育部重点实验室",物理学院.txt
华中科技大学物理学院,推进建设,引力与量子物理湖北省重点实验室,物理学院.txt
华中科技大学物理学院,推进建设,华中科技大学量子科学与工程研究院,物理学院.txt
华中科技大学物理学院,创建,天文系,物理学院.txt
华中科技大学物理学院,成立,交叉学科中心,物理学院.txt
物理学类,包含,物理学,物理学院.txt
物理学类,包含,应用物理学,物理学院.txt
物理学,有培养方向,物理学(强基计划实验班,物理学院.txt
物理学,有培养方向,物理学(严济慈物理学英才班,物理学院.txt
华中科技大学物理学院,依托,武汉光电国家研究中心,物理学院.txt
华中科技大学物理学院,依托,国家脉冲强磁场科学中心,物理学院.txt
毕业生,深造率超过,80%,物理学院.txt
毕业生,可从事,前沿研究,物理学院.txt
毕业生,可成为,光电领域急需人才,物理学院.txt
毕业生,可成为,材料领域急需人才,物理学院.txt
物理学专业,培养目标,杰出科研人才,物理学院.txt
物理学专业,可从事领域,光电子,物理学院.txt
物理学专业,可从事领域,材料,物理学院.txt
物理学专业,可从事领域,信息,物理学院.txt
物理学专业,可从事领域,生物,物理学院.txt
物理学专业,可从事领域,电气,物理学院.txt
物理学专业,可从事领域,新能源,物理学院.txt
物理学专业,开设课程,力学,物理学院.txt
物理学专业,开设课程,热学,物理学院.txt
物理学专业,开设课程,光学,物理学院.txt
物理学专业,开设课程,电磁学,物理学院.txt
物理学专业,开设课程,量子力学,物理学院.txt
物理学专业,开设课程,固体物理,物理学院.txt
物理学院毕业生,可成为,科学家,物理学院.txt
物理学院毕业生,可成为,科研工作者,物理学院.txt
物理学院毕业生,可成为,研发工程师,物理学院.txt
物理学院毕业生,可成为,教育从业者,物理学院.txt
华中科技大学环境科学与工程学院,拥有本科专业,环境工程,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,拥有本科专业,给排水科学与工程,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,拥有本科专业,建筑环境与能源应用工程,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,具有,环境科学与工程一级学科博士学位授权点,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,具有,博士后流动站,环境科学与工程学院.txt
环境科学与工程一级学科,是,湖北省首批一级重点学科,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,包括,固废处理处置与资源化技术湖北省工程实验室,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,包括,建设部给排水重点实验室,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,包括,湖北省环境与建筑实验教学示范中心,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,包括,湖北省水质安全与水污染控制工程中心,环境科学与工程学院.txt
华中科技大学环境科学与生态学,进入,ESI全球前1%,环境科学与工程学院.txt
环境工程专业,培养目标,复合型高级工程技术及管理人才,环境科学与工程学院.txt
环境工程专业,开设课程,环境工程原理,环境科学与工程学院.txt
环境工程专业,开设课程,大气污染控制工程,环境科学与工程学院.txt
给排水科学与工程专业,培养目标,高级工程技术人才和研究型人才,环境科学与工程学院.txt
给排水科学与工程专业,开设课程,水质工程学,环境科学与工程学院.txt
建筑环境与能源应用工程专业,培养目标,综合型高级工程技术人才和管理人才,环境科学与工程学院.txt
建筑环境与能源应用工程专业,开设课程,建筑设备自动化,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,与,材料领域合作,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,与,建筑领域合作,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,与,土木领域合作,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,与,机械领域合作,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,与,能源领域合作,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,与,化学领域合作,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,建立合作关系,美国大学,环境科学与工程学院.txt
华中科技大学环境科学与工程学院,建立合作关系,德国大学,环境科学与工程学院.txt
环境工程专业毕业生,深造,斯坦福大学,环境科学与工程学院.txt
环境工程专业毕业生,深造,帝国理工学院,环境科学与工程学院.txt
主语,谓语,宾语,生命科学与技术学院.txt
生命学院,拥有学科,生物医学工程,生命科学与技术学院.txt
生命学院,拥有学科,生物学,生命科学与技术学院.txt
生命学院,拥有平台,国家纳米药物工程技术研究中心,生命科学与技术学院.txt
生命学院,拥有平台,国家药品监督管理局医疗器械监管科学研究基地,生命科学与技术学院.txt
生命学院,拥有平台,国家级生命科学与技术虚拟仿真实验教学中心,生命科学与技术学院.txt
生命学院,拥有平台,分子生物物理教育部重点实验室,生命科学与技术学院.txt
生命学院,拥有平台,生物医学光子学教育部重点实验室,生命科学与技术学院.txt
生命学院,拥有平台,生物信息与分子成像湖北省重点实验室,生命科学与技术学院.txt
生命学院,拥有师资,院士,生命科学与技术学院.txt
生命学院,拥有师资,国家级及各类教学名师,生命科学与技术学院.txt
生命学院,拥有师资,杰青、优青,生命科学与技术学院.txt
生命学院,拥有培养计划,"""强基计划""",生命科学与技术学院.txt
生命学院,拥有培养计划,基础学科拔尖学生培养计划2.0基地,生命科学与技术学院.txt
生命学院,拥有专业,生物医学工程,生命科学与技术学院.txt
生命学院,拥有专业,生物信息学,生命科学与技术学院.txt
生命学院,拥有专业,生物科学,生命科学与技术学院.txt
生命学院,拥有专业,生物技术,生命科学与技术学院.txt
生命学院,拥有专业,生物制药,生命科学与技术学院.txt
生命学院,建立时间,1980年,生命科学与技术学院.txt
生命学院,拥有教学中心,国家级虚拟仿真实验教学中心,生命科学与技术学院.txt
生命学院,拥有教学团队,国家级教学团队,生命科学与技术学院.txt
生命学院,拥有课程,数字电路与逻辑设计,生命科学与技术学院.txt
生命学院,拥有课程,生物信息数据挖掘,生命科学与技术学院.txt
生命学院,拥有课程,生物医学数字信号处理,生命科学与技术学院.txt
生命学院,拥有课程,医学影像系统原理,生命科学与技术学院.txt
生命学院,拥有课程,生物芯片,生命科学与技术学院.txt
生命学院,拥有课程,生物材料学,生命科学与技术学院.txt
生命学院,拥有课程,生物化学,生命科学与技术学院.txt
生命学院,拥有课程,细胞生物学,生命科学与技术学院.txt
生命学院,拥有课程,合成生物学与细胞工厂,生命科学与技术学院.txt
生命学院,拥有课程,分子生物学,生命科学与技术学院.txt
生命学院,拥有课程,纳米药物制剂,生命科学与技术学院.txt
生命学院,拥有课程,生物化工原理与设备,生命科学与技术学院.txt
生命学院,合作院校,法国巴黎萨克雷大学,生命科学与技术学院.txt
生命学院,合作项目,生物科学本科中外合作办学项目,生命科学与技术学院.txt
生物医学工程,培养目标,高素质人才,生命科学与技术学院.txt
生物科学,培养目标,高素质创新型人才,生命科学与技术学院.txt
生命学院毕业生,深造去向,国内一流高校和科研院所,生命科学与技术学院.txt
生命学院毕业生,深造去向,耶鲁大学,生命科学与技术学院.txt
生命学院毕业生,深造去向,斯坦福大学,生命科学与技术学院.txt
生命学院毕业生,深造去向,中国科学院,生命科学与技术学院.txt
生命学院毕业生,就业去向,华为,生命科学与技术学院.txt
生命学院毕业生,就业去向,迈瑞,生命科学与技术学院.txt
生命学院毕业生,就业去向,基层选调生,生命科学与技术学院.txt
生命学院毕业生,就业去向,事业单位,生命科学与技术学院.txt
生命学院,联系电话,027-87792270,生命科学与技术学院.txt
生命学院,联系邮箱,hustlifefresh@sina.com,生命科学与技术学院.txt
生命学院,官网,http://life.hust.edu.cn,生命科学与技术学院.txt
生命学院,微信公众号,hustlife1980,生命科学与技术学院.txt
主语,谓语,宾语,电子信息与通信学院.txt
电子信息与通信学院,入选,首批国家质量工程人才培养模式创新实验区,电子信息与通信学院.txt
电子信息与通信学院,建立,与国际接轨的本、硕、博人才培养体系,电子信息与通信学院.txt
电子信息与通信学院,入选,"教育部首批""来华留学示范基地""",电子信息与通信学院.txt
电子信息与通信学院,建设,多个国际合作平台,电子信息与通信学院.txt
电子信息与通信学院,推进,与国外一流大学深度学术合作,电子信息与通信学院.txt
电子信息与通信学院,支持,优秀本科生前往牛津等高校学习交流,电子信息与通信学院.txt
电子信息与通信学院,荣获,全国互联网＋创新创业大赛金奖,电子信息与通信学院.txt
电子信息与通信学院,培养,"""微信之父""张小龙",电子信息与通信学院.txt
电子信息与通信学院,培养,武汉高德红外公司董事长黄立,电子信息与通信学院.txt
电子信息与通信学院,培养,vivo创始人沈炜,电子信息与通信学院.txt
电子信息与通信学院,校友张良伦,"入选, 福布斯""中国30位30岁以下创业者""名单",电子信息与通信学院.txt
电子信息与通信学院,校友柯尊尧,"入选, 福布斯""中国30位30岁以下创业者""名单",电子信息与通信学院.txt
电子信息与通信学院,始建于,1960年,电子信息与通信学院.txt
电子信息与通信学院,拥有,信息与通信工程一级学科博士学位授权点,电子信息与通信学院.txt
电子信息与通信学院,拥有,电子科学与技术一级学科博士学位授权点,电子信息与通信学院.txt
电子信息与通信学院,拥有,国家防伪工程技术研究中心,电子信息与通信学院.txt
电子信息与通信学院,拥有,国家绿色通信与网络国际联合研究中心,电子信息与通信学院.txt
电子信息与通信学院,拥有,电工电子国家级实验教学示范中心,电子信息与通信学院.txt
电子信息与通信学院,科研成果获,国家技术发明二等奖,电子信息与通信学院.txt
电子信息与通信学院通信工程学科,排名,全国第7,电子信息与通信学院.txt
电子信息与通信学院,获得,国家教学成果二等奖,电子信息与通信学院.txt
电子信息与通信学院,拥有,电工电子国家级教学团队,电子信息与通信学院.txt
电子信息与通信学院,拥有,6门国家级一流课程,电子信息与通信学院.txt
电子信息与通信学院,培养,中国科学院院士朱中梁,电子信息与通信学院.txt
电子信息与通信学院,培养,中国工程院院士罗锡文,电子信息与通信学院.txt
电子信息与通信学院,培养,加拿大皇家科学院院士王舟,电子信息与通信学院.txt
电子信息与通信学院,培养,聂皞将军,电子信息与通信学院.txt
电子信息工程专业,包含,人工智能等7个学科融合专业方向,电子信息与通信学院.txt
通信工程专业,作为,国家特色专业,电子信息与通信学院.txt
电磁场与无线技术专业,拥有,国家探月工程的魅力加成,电子信息与通信学院.txt
电子信息工程专业,培养目标,高素质科技人才,电子信息与通信学院.txt
通信工程专业,培养目标,研究型或应用型人才,电子信息与通信学院.txt
电磁场与无线技术专业,培养目标,研究型或应用型人才,电子信息与通信学院.txt
电子信息与通信学院,开设,电子信息工程专业,电子信息与通信学院.txt
电子信息与通信学院,开设,通信工程专业,电子信息与通信学院.txt
电子信息与通信学院,开设,电磁场与无线技术专业,电子信息与通信学院.txt
电子信息与通信学院,官网,http://eic.hust.edu.cn/,电子信息与通信学院.txt
电子信息与通信学院,咨询电话,027-87541790,电子信息与通信学院.txt
电子信息与通信学院,咨询邮箱,hustei@hust.edu.cn,电子信息与通信学院.txt
电子信息与通信学院,微信公众号,hust_eic,电子信息与通信学院.txt
电气与电子工程学院,拥有,3位院士,电气与电子工程学院.txt
电气与电子工程学院,拥有,124名教授,电气与电子工程学院.txt
电气与电子工程学院,拥有,70名副教授,电气与电子工程学院.txt
电气与电子工程学院,拥有,40多名长江学者/杰青,电气与电子工程学院.txt
电气与电子工程学院,拥有,国家基金委创新研究群体,电气与电子工程学院.txt
电气与电子工程学院,拥有,2个国家级教学团队,电气与电子工程学院.txt
电气工程及其自动化专业,入选,国家级双一流学科,电气与电子工程学院.txt
电气与电子工程学院,建有,国家级实验教学示范中心,电气与电子工程学院.txt
电气与电子工程学院,开设,4门国家级精品课程,电气与电子工程学院.txt
电气与电子工程学院,开设,7门国家级一流本科课程,电气与电子工程学院.txt
电气与电子工程学院,合作院校,英国华威大学,电气与电子工程学院.txt
电气与电子工程学院,合作院校,伯明翰大学,电气与电子工程学院.txt
电气与电子工程学院,年派出学生,100+名,电气与电子工程学院.txt
电气工程一级学科,属于,国家985工程建设学科,电气与电子工程学院.txt
电气工程一级学科,入选,国家首批双一流建设学科,电气与电子工程学院.txt
电气工程一级学科,评估结果,全国前三,电气与电子工程学院.txt
电气与电子工程学院,拥有,国家重大科技基础设施,电气与电子工程学院.txt
电气与电子工程学院,拥有,国家重点实验室,电气与电子工程学院.txt
